"county","subcounty","pop12_total","pop12_0_1","pop12_2_4","pop12_5_9","pop12_10_14","pop12_15_19","pop12_20_24","pop12_25_29","pop12_30_34","pop12_35_39","pop12_40_44","pop12_45_49","pop12_50_54","pop12_55_59","pop12_60_64","pop12_65_69","pop12_70_74","pop12_75_79","pop12_80p"
"Bungoma","Bumula",202000.420013428,11935.1073194624,19155.1506451243,29302.1498559755,26355.7629063546,21826.1472745194,19761.3872921996,16757.3353086946,13188.7616976333,10514.5091086271,7727.24540700984,6662.38957432701,5005.41497731984,3726.8331398755,3108.22698707498,2045.51213104962,1776.12596785588,1143.81547058291,2008.54494974158
"Tana River","Bura",127772.185391806,7549.36422900547,12116.2889625383,18534.6135593545,16670.9228821869,13805.7858283828,12499.7544090768,10599.5886226022,8342.34356842593,6650.78719659112,4887.74742471728,4214.18963280749,3166.09643882185,2357.34962749505,1966.06004485515,1293.85649402257,1123.46051770089,723.502467725663,1270.4734854962
"Kericho","Buret",190293.317672729,11243.3982486254,18044.9979586146,27603.9193911893,24828.2927476718,20561.1947569505,18616.0996566165,15786.1500042123,12424.3960446757,9905.13198857594,7279.40647288511,6276.26524560004,4715.32198942775,3510.84142573782,2928.0871070025,1926.96277429211,1673.18911022816,1077.52469370186,1892.13805672148
"Kakamega","Butere",164959.596893311,9746.56632974352,15642.6700926676,23929.0137516931,21522.9058660319,17823.8859894421,16137.7411074549,13684.542226915,10770.3380667175,8586.46325574411,6310.30018329317,5440.70699681775,4087.57188171952,3043.44363443218,2538.27131055824,1670.42650978593,1450.43769547495,934.073993188465,1640.23800163109
"Busia","Butula",136718.781677246,8077.96999528819,12964.6703649003,19832.4054403785,17838.2193190074,14772.4656408243,13374.9860255842,11341.7708112168,8926.47367273837,7116.47468441028,5229.98703516186,4509.2667906365,3387.78621075499,2522.41102451318,2103.72338246118,1384.45220284463,1202.12511644497,774.16204179816,1359.43191828215
"Mombasa","Changamwe",121039.72857666,7151.57993426454,11477.8683864952,17558.0044093182,15792.5136413276,13078.3438064456,11841.1286173915,10041.0846536737,7902.77632114662,6300.34991283901,4630.20664337004,3992.13935146721,2999.27133927775,2233.13828590577,1862.46618123465,1225.68177395895,1064.26414882178,685.380327882174,1203.53084183974
"Bomet","Chepalungu",191955.476629257,11341.6061906032,18202.6159734996,27845.0319137544,25045.1609470944,20740.7910477722,18778.7060852515,15924.0376134016,12532.9196723977,9991.6505487217,7342.99005435339,6331.08666875406,4756.50900941087,3541.5076445631,2953.66312969169,1943.79425567756,1687.80394956957,1086.93657081042,1908.66535392997
"Trans Nzoia","Cherangany",230032.762206078,13591.3861156299,21813.3814428631,33368.5171025803,30013.2491852948,24855.0421110045,22503.7477820422,19082.8124417574,15019.0147286953,11973.6462594369,8799.58370928408,7586.95391115296,5700.03484717515,4244.01949951254,3539.56709274567,2329.37538248735,2022.60550935821,1302.54695576743,2287.27812929008
"Nandi","Chesumei",152427.2259655,9006.09662190434,14454.2594297252,22111.0699526011,19887.7597767024,16469.7631933057,14911.7187280088,12644.895171546,9952.08999742007,7934.12932364434,5830.89174600163,5027.36361166292,3777.0293732474,2812.22601967735,2345.43283266168,1543.52025502692,1340.24451150925,863.110181581732,1515.62523927313
"Garissa","Dadaab",194722.086934462,11505.0701621215,18464.9661070737,28246.3559790747,25406.1311136585,21039.7233171635,19049.3592736167,16153.5471191231,12713.553772184,10135.6579188656,7448.82288763394,6422.33517037796,4825.06348398652,3592.55058283953,2996.23359965797,1971.80971693654,1712.12988119726,1102.60233857446,1936.17451037654
"Garissa","Dujis",137861.116917372,8145.46437814542,13072.9949100195,19998.1124146002,17987.2641415199,14895.8949742197,13486.7389075642,11436.5354391936,9001.05761300854,7175.93542358406,5273.6854826054,4546.94335781243,3416.0923990276,2543.48668776906,2121.30075790134,1396.01980548253,1212.16930983749,780.630447755739,1370.79046732534
"Wajir","Eldas",106741.375925422,6306.76796123645,10121.994477949,15483.8875730645,13926.9532013917,11533.4066685516,10442.3429893082,8854.93717079806,6969.22595638319,5556.09324654193,4083.24302891448,3520.550254636,2644.96916254589,1969.33896062358,1642.45413582238,1080.89269975708,938.54324467843,604.416748869571,1061.35844434988
"Nandi","Emgwen",155636.885943413,9195.73799142639,14758.6227592295,22576.6627352958,20306.5363187624,16816.566983983,15225.7147775992,12911.1587192812,10161.6511487103,8101.19827860552,5953.67282893573,5133.22480330085,3856.56227780513,2871.44306077372,2394.82060998422,1576.02215982954,1368.46603913964,881.284692000095,1547.53975875084
"Vihiga","Emuhaya",97985.2764282227,5789.41761517273,9291.67736810636,14213.7291268409,12784.5116048976,10587.3100358639,9585.74737766699,8128.55801148191,6397.5335328642,5100.32148174447,3748.29060842666,3231.75607293067,2427.99975444629,1807.79215898802,1507.72201617184,992.226014108565,861.553624097088,554.835851630872,974.294172783684
"Narok","Emurua Dikirr",110629.351783752,6536.48733073857,10490.680658235,16047.8767530357,14434.2321956679,11953.5024964615,10822.6976277495,9177.47172357678,7223.07486955999,5758.46984345106,4231.97214339775,3648.78370000235,2741.31021268553,2041.07067917593,1702.27931582524,1120.26341880268,972.728989856175,626.432182974684,1100.01764255574
"Trans Nzoia","Endebess",101472.336481869,5995.44904801288,9622.34579261632,14719.5615218525,13239.4815896531,10964.0869073224,9926.88104573898,8417.83381871351,6625.20634695944,5281.82964244016,3881.6832458366,3346.76648996307,2514.4064194333,1872.12712902324,1561.37821234992,1027.53694881334,892.214243081654,574.581123625589,1008.966956433
"Garissa","Fafi",171112.835607767,10110.1277738951,16226.1649909603,24821.6016131371,22325.7423188157,18488.7434901743,16739.7028921365,14194.996038673,11172.0877218331,8906.75112695944,6545.68378096764,5643.65347315088,4240.04440241188,3156.96861599942,2632.95261185908,1732.73590713682,1504.54118232133,968.916344681183,1701.42132265416
"Busia","Funyula",95894.2445211411,5665.86990067897,9093.39049731052,13910.4043600367,12511.6867208255,10361.3740187177,9381.18497451239,7955.09241766871,6261.00846265488,4991.47926234722,3668.30108811362,3162.78953723535,2376.18559274769,1769.21339263035,1475.54682661533,971.051646589612,843.16784019854,542.995506721473,953.502475536529
"Embu","Gachoka",148711.934318572,8786.58022423427,14101.9484237246,21572.1303177741,19403.0115481201,16068.3258960553,14548.2575177126,12336.6859713224,9709.51576829082,7740.74127098468,5688.76842609706,4904.82564697735,3684.96730499324,2743.68026104401,2288.26478439194,1505.89818407443,1307.57712412546,842.072561644105,1478.68308700553
"Tana River","Galole",78505.4973153174,4638.46330400599,7444.46287510362,11387.9953650512,10242.9107521183,8482.51972025405,7680.07084792991,6512.57528078976,5125.68387717752,4086.36163501212,3003.11872378525,2589.27286787898,1945.30581687855,1448.3974292612,1207.98216841822,794.968382253315,690.274071667307,444.532750719509,780.601447012586
"Kilifi","Ganze",154744.792921677,9143.02906164963,14674.028003339,22447.2558587821,20190.1415500301,16720.1763246285,15138.4427031053,12837.1534182487,10103.4057139978,8054.7631266283,5919.54704986865,5103.80173949262,3834.45689915362,2854.98427401953,2381.09376919371,1566.98857911785,1360.6221466292,876.233267852597,1538.66943593969
"Tana River","Garsen",106783.66041768,6309.26632214587,10126.0042013897,15490.0213550074,13932.4702198835,11537.9755083362,10446.479615499,8858.44496258917,6971.98674317689,5558.29423542587,4084.86056341548,3521.94488421328,2646.01693972795,1970.11909388786,1643.10477704363,1081.32088422255,938.915038879313,604.656182314349,1061.77889052208
"Siaya","Gem",183983.59777832,10870.5911817366,17446.6643754572,26688.6323938508,24005.0396003195,19879.4294632586,17998.8295611859,15262.7149936934,12012.4296138106,9576.69897196024,7038.03690508743,6068.15769790959,4558.97198550168,3394.42942419717,2830.9979937453,1863.06880522669,1617.70973373175,1041.79627675208,1829.39880089539
"Kirinyaga","Gichugu",139302.828178754,8230.64726354303,13209.7084693117,20207.246828416,18175.3696919038,15051.6718895161,13627.7792806377,11556.135383707,9095.1880423507,7250.979258586,5328.83614378723,4594.49396229326,3451.81689475,2570.08572804181,2143.48470113225,1410.618972526,1224.84582214039,788.794052785732,1385.12579332536
"Vihiga","Hamisi",161523.510209501,9543.5466363809,15316.8353342363,23430.5755458694,21074.5865706653,17452.6167910718,15801.5940849694,13399.4950141096,10545.993342869,8407.6083566674,6178.85746132361,5327.37778642711,4002.42829761525,2980.0491042433,2485.39945336192,1635.63174552453,1420.22526925072,914.617354895611,1606.07206001977
"Homa Bay","Homa Bay",100532.161590576,5939.89922180014,9533.19156375737,14583.1798967367,13116.8133965683,10862.5010015119,9834.90519663922,8339.83979324977,6563.82161026168,5232.89173697667,3845.71816165486,3315.75758714308,2491.10960905109,1854.78124953488,1546.91152475841,1018.01647778997,883.94758186065,569.257438726107,999.618542555174
"Garissa","Ijara",86483.7738550715,5109.85631754519,8201.02114858291,12545.3229327104,11283.8668296805,9344.57257510425,8460.57324795398,7174.42863314054,5646.59164575365,4501.64622374126,3308.31660774792,2852.41284766725,2143.00137059388,1595.5936846228,1330.74574707594,875.758617470899,760.424540364603,489.709271313638,859.931614001841
"Kakamega","Ikolomani",120019.622467041,7091.30740663943,11381.1344975138,17410.0279739669,15659.416518249,12968.1213317463,11741.3332213721,9956.45977948686,7836.17281415802,6247.25143422871,4591.18390148816,3958.49415256623,2973.99389480905,2214.3177049621,1846.76957357717,1215.35189730798,1055.29467761404,679.604037170794,1193.3876501843
"Mombasa","Jomvu",78669.0912017822,4648.12917792662,7459.97603858935,11411.7262690582,10264.2554685516,8500.1960412189,7696.07498370771,6526.14652786817,5136.36504696732,4094.87701042191,3009.37678061362,2594.6685309352,1949.35954750671,1451.41567604265,1210.49942522787,796.624979201515,691.712501101827,445.459091457903,782.228105385106
"Homa Bay","Kabondo Kasipul",120646.850387573,7128.36689663858,11440.6128159541,17501.0135596407,15741.2533300769,13035.8933144348,11802.69395447,10008.4926840651,7877.12500412598,6279.89984992597,4615.17763411385,3979.18142023727,2989.536120055,2225.88982842768,1856.42087405226,1221.70338073705,1060.80969484691,683.155678296285,1199.62434747452
"Bungoma","Kabuchai",161501.3671875,9542.23832551728,15314.7355716609,23427.363482504,21071.697486386,17450.2242373372,15799.4278675251,13397.6580969171,10544.5476080511,8406.45576992275,6178.01041078261,5326.64746399058,4001.87961056816,2979.64057366596,2485.05873358245,1635.40751915847,1420.03057264375,914.491971338842,1605.85188594781
"Makueni","Kaiti",132755.899600983,7843.82482434534,12588.8810316175,19257.5503759559,17321.1670256464,14344.2761953651,12987.3034282058,11013.0222683358,8667.73407538416,6910.19907525802,5078.39248738672,4378.5627840437,3289.58904217207,2449.29731390677,2042.74560323074,1344.32296271545,1167.2807445237,751.722455649656,1320.02790724014
"Kilifi","Kaloleni",160780.964781761,9499.67366141845,15246.4217701048,23322.8620203379,20977.7038451769,17372.3847506493,15728.9520192813,13337.8957228123,10497.5119847833,8368.95744364939,6150.45241768252,5302.88711004183,3984.02859327254,2966.34941536255,2473.97373584372,1628.11252511797,1413.69630155632,910.412735183419,1598.68872948639
"Bungoma","Kanduyi",272636.329818726,16108.5994541721,25853.3619319421,39548.5840673025,35571.8986519106,29458.3579906041,26671.5886190414,22617.073745691,17800.6341959958,14191.2436272712,10429.3239946517,8992.10725030332,6755.71847100836,5030.03958622913,4195.11799996904,2760.79089326635,2397.20523917608,1543.78714593204,2710.89695425921
"Machakos","Kangundo",101471.498825073,5995.39955542392,9622.26635989972,14719.4400114865,13239.3722973857,10963.9963984978,9926.79909907589,8417.76432927481,6625.15165570748,5281.78604079809,3881.65120243971,3346.73886231802,2514.38566294243,1872.11167456474,1561.36532313187,1027.52846646891,892.206877829704,574.576380443361,1008.95862738434
"Homa Bay","Karachuonyo",182282.851368904,10770.1033168192,17285.3872173238,26441.9223813053,23783.1367491896,19695.6637977909,17832.4481819786,15121.6262877603,11901.3865818189,9488.1718609172,6972.97721422256,6012.06358114531,4516.82879812738,3363.05128111849,2804.82821703114,1845.84657661911,1602.75560709033,1032.16590046624,1812.48781817963
"Homa Bay","Kasipul",116286.704376221,6870.74955816695,11027.1520237605,16868.5314499001,15172.3685005075,12564.7794970683,11376.1476434518,9646.78834353833,7592.44774104511,6052.94589137352,4448.38630646278,3835.3748314854,2881.49505683804,2145.44674494932,1789.33030315557,1177.55133610875,1022.47230646974,658.466608533691,1156.27023340558
"Machakos","Kathiani",111124.525968552,6565.74448296143,10537.6366799343,16119.7066441164,14498.8394544601,12007.0060717673,10871.1397490197,9218.54985524775,7255.40517026784,5784.24460904853,4250.91434383927,3665.11556369881,2753.58024796969,2050.20645999164,1709.89867505428,1125.27768957461,977.082900249909,629.236077606041,1104.94129374446
"Kakamega","Khwisero",114066.676727295,6739.58018614117,10816.6328374702,16546.4945806257,14882.7130514904,12324.9054888076,11158.9657872611,9462.62165861187,7447.5004403321,5937.38919632068,4363.46223327295,3762.15375074736,2826.4844799132,2104.48805479953,1755.17022640927,1155.07072202467,1002.9523037076,645.895832840281,1134.19589651934
